#Organism Name	Organism Groups		Size(Mb)	Chromosomes
"candidate division WS6 bacterium GW2011_GWE1_34_7"	Bacteria	unclassified Bacteria	0.549993	0
"candidate division WS6 bacterium GW2011_GWE1_36_69"	Bacteria	unclassified Bacteria	0.221551	0
"candidate division WS6 bacterium GW2011_GWE2_33_157"	Bacteria	unclassified Bacteria	0.612802	0
"candidate division WS6 bacterium GW2011_GWF1_33_233"	Bacteria	unclassified Bacteria	0.617993	0
"candidate division WS6 bacterium GW2011_GWF1_35_23"	Bacteria	unclassified Bacteria	0.3348	0
"candidate division WS6 bacterium GW2011_GWF1_36_8"	Bacteria	unclassified Bacteria	0.534556	0
"candidate division WS6 bacterium GW2011_GWF2_33_92"	Bacteria	unclassified Bacteria	0.615433	0
"candidate division WS6 bacterium GW2011_GWF2_39_15"	Bacteria	unclassified Bacteria	0.899311	0
"candidate division WS6 bacterium GW2011_WS6_33_547"	Bacteria	unclassified Bacteria	0.6174	0
"candidate division WS6 bacterium GW2011_WS6_36_26"	Bacteria	unclassified Bacteria	0.452645	0
"candidate division WS6 bacterium OLB20"	Bacteria	unclassified Bacteria	1.45939	0
"candidate division WS6 bacterium OLB21"	Bacteria	unclassified Bacteria	1.05051	0
"candidate division WS6 bacterium RIFOXYB1_FULL_33_14"	Bacteria	unclassified Bacteria	0.493643	0
"candidate division WS6 bacterium RIFOXYB1_FULL_33_15"	Bacteria	unclassified Bacteria	0.704381	0
"candidate division WS6 bacterium RIFOXYC1_FULL_33_10"	Bacteria	unclassified Bacteria	0.473372	0
"candidate division WS6 bacterium RIFOXYC1_FULL_33_9"	Bacteria	unclassified Bacteria	0.6026	0
"candidate division WS6 bacterium RIFOXYD1_FULL_33_8"	Bacteria	unclassified Bacteria	0.520885	0
"candidate division WWE3 bacterium"	Bacteria	unclassified Bacteria	1.10287	0
"candidate division WWE3 bacterium CG06_land_8_20_14_3_00_42_16"	Bacteria	unclassified Bacteria	0.939954	0
"candidate division WWE3 bacterium CG08_land_8_20_14_0_20_40_13"	Bacteria	unclassified Bacteria	0.63381	0
"candidate division WWE3 bacterium CG08_land_8_20_14_0_20_41_10"	Bacteria	unclassified Bacteria	0.775197	0
"candidate division WWE3 bacterium CG08_land_8_20_14_0_20_41_15"	Bacteria	unclassified Bacteria	0.750657	0
"candidate division WWE3 bacterium CG08_land_8_20_14_0_20_43_13"	Bacteria	unclassified Bacteria	0.608322	0
"candidate division WWE3 bacterium CG09_land_8_20_14_0_10_39_24"	Bacteria	unclassified Bacteria	0.607271	0
"candidate division WWE3 bacterium CG09_land_8_20_14_0_10_47_33"	Bacteria	unclassified Bacteria	0.404327	0
"candidate division WWE3 bacterium CG10_big_fil_rev_8_21_14_0_10_32_10"	Bacteria	unclassified Bacteria	0.95083	0
"candidate division WWE3 bacterium CG10_big_fil_rev_8_21_14_0_10_35_32"	Bacteria	unclassified Bacteria	0.772471	0
"candidate division WWE3 bacterium CG10_big_fil_rev_8_21_14_0_10_39_14"	Bacteria	unclassified Bacteria	0.593233	0
"candidate division WWE3 bacterium CG10_big_fil_rev_8_21_14_0_10_48_23"	Bacteria	unclassified Bacteria	0.5404	0
"candidate division WWE3 bacterium CG22_combo_CG10-13_8_21_14_all_39_12"	Bacteria	unclassified Bacteria	0.988027	0
"candidate division WWE3 bacterium CG23_combo_of_CG06-09_8_20_14_all_40_14"	Bacteria	unclassified Bacteria	0.635565	0
"candidate division WWE3 bacterium CG_4_10_14_0_2_um_filter_41_14"	Bacteria	unclassified Bacteria	1.30968	0
"candidate division WWE3 bacterium CG_4_10_14_0_2_um_filter_42_7"	Bacteria	unclassified Bacteria	0.466567	0
"candidate division WWE3 bacterium CG_4_10_14_0_2_um_filter_42_8"	Bacteria	unclassified Bacteria	0.752289	0
"candidate division WWE3 bacterium CG_4_10_14_0_2_um_filter_47_8"	Bacteria	unclassified Bacteria	0.388356	0
"candidate division WWE3 bacterium CG_4_8_14_3_um_filter_42_11"	Bacteria	unclassified Bacteria	1.0847	0
"candidate division WWE3 bacterium CG_4_9_14_0_2_um_filter_35_11"	Bacteria	unclassified Bacteria	0.750652	0
"candidate division WWE3 bacterium CG_4_9_14_0_2_um_filter_48_10"	Bacteria	unclassified Bacteria	0.556295	0
"candidate division WWE3 bacterium CG_4_9_14_3_um_filter_34_6"	Bacteria	unclassified Bacteria	0.399122	0
"candidate division WWE3 bacterium CG_4_9_14_3_um_filter_39_7"	Bacteria	unclassified Bacteria	1.08011	0
"candidate division WWE3 bacterium CG_4_9_14_3_um_filter_41_6"	Bacteria	unclassified Bacteria	0.789229	0
"candidate division WWE3 bacterium CG_4_9_14_3_um_filter_43_9"	Bacteria	unclassified Bacteria	0.934927	0
"candidate division WWE3 bacterium CSP1-7"	Bacteria	unclassified Bacteria	0.572141	0
"candidate division WWE3 bacterium GW2011_GWA1_41_8"	Bacteria	unclassified Bacteria	0.92136	0
"candidate division WWE3 bacterium GW2011_GWA1_42_12"	Bacteria	unclassified Bacteria	0.864275	0
"candidate division WWE3 bacterium GW2011_GWA1_42_46"	Bacteria	unclassified Bacteria	0.755771	0
"candidate division WWE3 bacterium GW2011_GWA1_43_94"	Bacteria	unclassified Bacteria	0.891856	0
"candidate division WWE3 bacterium GW2011_GWA1_46_21"	Bacteria	unclassified Bacteria	0.432578	0
"candidate division WWE3 bacterium GW2011_GWA2_42_9"	Bacteria	unclassified Bacteria	0.620476	0
"candidate division WWE3 bacterium GW2011_GWA2_43_24"	Bacteria	unclassified Bacteria	0.856514	0
"candidate division WWE3 bacterium GW2011_GWA2_44_16"	Bacteria	unclassified Bacteria	0.366251	0
"candidate division WWE3 bacterium GW2011_GWA2_46_9"	Bacteria	unclassified Bacteria	0.325777	0
"candidate division WWE3 bacterium GW2011_GWB1_41_6"	Bacteria	unclassified Bacteria	0.938148	0
"candidate division WWE3 bacterium GW2011_GWB1_42_117"	Bacteria	unclassified Bacteria	0.879042	0
"candidate division WWE3 bacterium GW2011_GWB1_42_41"	Bacteria	unclassified Bacteria	0.744997	0
"candidate division WWE3 bacterium GW2011_GWB1_42_6"	Bacteria	unclassified Bacteria	0.778859	0
"candidate division WWE3 bacterium GW2011_GWB1_44_4"	Bacteria	unclassified Bacteria	0.425048	0
"candidate division WWE3 bacterium GW2011_GWB1_47_11"	Bacteria	unclassified Bacteria	0.476491	0
"candidate division WWE3 bacterium GW2011_GWB2_43_22"	Bacteria	unclassified Bacteria	0.402179	0
"candidate division WWE3 bacterium GW2011_GWC1_41_7"	Bacteria	unclassified Bacteria	0.834875	0
"candidate division WWE3 bacterium GW2011_GWC1_42_102"	Bacteria	unclassified Bacteria	0.625951	0
"candidate division WWE3 bacterium GW2011_GWC1_44_308"	Bacteria	unclassified Bacteria	0.849134	0
"candidate division WWE3 bacterium GW2011_GWC1_47_10"	Bacteria	unclassified Bacteria	0.488761	0
"candidate division WWE3 bacterium GW2011_GWC2_41_23"	Bacteria	unclassified Bacteria	0.837228	0
"candidate division WWE3 bacterium GW2011_GWC2_44_85"	Bacteria	unclassified Bacteria	0.861783	0
"candidate division WWE3 bacterium GW2011_GWC2_44_9"	Bacteria	unclassified Bacteria	0.712044	0
"candidate division WWE3 bacterium GW2011_GWD1_42_14"	Bacteria	unclassified Bacteria	0.577149	0
"candidate division WWE3 bacterium GW2011_GWD1_42_70"	Bacteria	unclassified Bacteria	0.773748	0
"candidate division WWE3 bacterium GW2011_GWD1_43_201"	Bacteria	unclassified Bacteria	0.866613	0
"candidate division WWE3 bacterium GW2011_GWD2_42_11"	Bacteria	unclassified Bacteria	0.77078	0
"candidate division WWE3 bacterium GW2011_GWD2_42_34"	Bacteria	unclassified Bacteria	0.887205	0
"candidate division WWE3 bacterium GW2011_GWE1_41_27"	Bacteria	unclassified Bacteria	0.726676	0
"candidate division WWE3 bacterium GW2011_GWE1_41_72"	Bacteria	unclassified Bacteria	0.705146	0
"candidate division WWE3 bacterium GW2011_GWE1_42_16"	Bacteria	unclassified Bacteria	0.778466	0
"candidate division WWE3 bacterium GW2011_GWE1_44_51"	Bacteria	unclassified Bacteria	0.835093	0
"candidate division WWE3 bacterium GW2011_GWE2_42_25"	Bacteria	unclassified Bacteria	0.782405	0
"candidate division WWE3 bacterium GW2011_GWE2_43_18"	Bacteria	unclassified Bacteria	0.855823	0
"candidate division WWE3 bacterium GW2011_GWF1_41_53"	Bacteria	unclassified Bacteria	0.464924	0
"candidate division WWE3 bacterium GW2011_GWF1_42_14"	Bacteria	unclassified Bacteria	0.942732	0
"candidate division WWE3 bacterium GW2011_GWF1_42_51"	Bacteria	unclassified Bacteria	0.352321	0
"candidate division WWE3 bacterium GW2011_GWF1_44_14"	Bacteria	unclassified Bacteria	0.839128	0
"candidate division WWE3 bacterium GW2011_GWF2_41_45"	Bacteria	unclassified Bacteria	0.848675	0
"candidate division WWE3 bacterium GW2011_GWF2_42_42"	Bacteria	unclassified Bacteria	0.751963	0
"candidate division WWE3 bacterium GW2011_GWF2_43_18"	Bacteria	unclassified Bacteria	0.864654	0
"candidate division WWE3 bacterium RAAC2_WWE3_1"	Bacteria	unclassified Bacteria	0.878109	1
"candidate division WWE3 bacterium RBG_13_37_7"	Bacteria	unclassified Bacteria	0.327913	0
"candidate division WWE3 bacterium RBG_16_37_10"	Bacteria	unclassified Bacteria	1.05679	0
"candidate division WWE3 bacterium RBG_16_52_45"	Bacteria	unclassified Bacteria	0.520071	0
"candidate division WWE3 bacterium RBG_19FT_COMBO_34_6"	Bacteria	unclassified Bacteria	0.80934	0
"candidate division WWE3 bacterium RBG_19FT_COMBO_53_11"	Bacteria	unclassified Bacteria	0.659365	0
"candidate division WWE3 bacterium RIFCSPHIGHO2_01_FULL_35_17"	Bacteria	unclassified Bacteria	0.475441	0
"candidate division WWE3 bacterium RIFCSPHIGHO2_01_FULL_38_45"	Bacteria	unclassified Bacteria	0.862028	0
"candidate division WWE3 bacterium RIFCSPHIGHO2_01_FULL_40_23"	Bacteria	unclassified Bacteria	1.00985	0
"candidate division WWE3 bacterium RIFCSPHIGHO2_01_FULL_42_13"	Bacteria	unclassified Bacteria	0.641607	0
"candidate division WWE3 bacterium RIFCSPHIGHO2_01_FULL_43_9"	Bacteria	unclassified Bacteria	0.621078	0
"candidate division WWE3 bacterium RIFCSPHIGHO2_01_FULL_48_15"	Bacteria	unclassified Bacteria	0.491139	0
"candidate division WWE3 bacterium RIFCSPHIGHO2_02_FULL_38_14"	Bacteria	unclassified Bacteria	0.9411	0
"candidate division WWE3 bacterium RIFCSPHIGHO2_12_FULL_38_15"	Bacteria	unclassified Bacteria	0.963567	0
"candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_37_15"	Bacteria	unclassified Bacteria	0.509101	0
"candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_37_24"	Bacteria	unclassified Bacteria	0.94487	0
"candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_39_13"	Bacteria	unclassified Bacteria	0.801306	0
"candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_41_18"	Bacteria	unclassified Bacteria	0.985345	0
"candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_41_9"	Bacteria	unclassified Bacteria	0.840958	0
"candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_42_11"	Bacteria	unclassified Bacteria	0.597447	0
"candidate division WWE3 bacterium RIFCSPLOWO2_01_FULL_53_14"	Bacteria	unclassified Bacteria	0.532308	0
"candidate division WWE3 bacterium RIFCSPLOWO2_02_FULL_53_10"	Bacteria	unclassified Bacteria	0.651739	0
"candidate division WWE3 bacterium RIFCSPLOWO2_12_FULL_36_10"	Bacteria	unclassified Bacteria	0.72968	0
"candidate division WWE3 bacterium RIFOXYA12_FULL_43_11"	Bacteria	unclassified Bacteria	0.734832	0
"candidate division WWE3 bacterium RIFOXYA1_FULL_40_11"	Bacteria	unclassified Bacteria	0.897158	0
"candidate division WWE3 bacterium RIFOXYA1_FULL_41_11"	Bacteria	unclassified Bacteria	0.693166	0
"candidate division WWE3 bacterium RIFOXYA1_FULL_42_9"	Bacteria	unclassified Bacteria	0.702114	0
"candidate division WWE3 bacterium RIFOXYA2_FULL_43_12"	Bacteria	unclassified Bacteria	0.81504	0
"candidate division WWE3 bacterium RIFOXYA2_FULL_46_9"	Bacteria	unclassified Bacteria	0.953042	0
"candidate division WWE3 bacterium RIFOXYB1_FULL_40_22"	Bacteria	unclassified Bacteria	0.897158	0
"candidate division WWE3 bacterium RIFOXYB1_FULL_42_27"	Bacteria	unclassified Bacteria	0.77798	0
"candidate division WWE3 bacterium RIFOXYB1_FULL_43_12"	Bacteria	unclassified Bacteria	0.728928	0
"candidate division WWE3 bacterium RIFOXYB1_FULL_43_24"	Bacteria	unclassified Bacteria	0.777638	0
"candidate division WWE3 bacterium RIFOXYB2_FULL_41_6"	Bacteria	unclassified Bacteria	0.918752	0
"candidate division WWE3 bacterium RIFOXYB2_FULL_43_9"	Bacteria	unclassified Bacteria	0.767997	0
"candidate division WWE3 bacterium RIFOXYC1_FULL_39_7"	Bacteria	unclassified Bacteria	1.0186	0
"candidate division WWE3 bacterium RIFOXYC1_FULL_40_10"	Bacteria	unclassified Bacteria	0.897158	0
"candidate division WWE3 bacterium RIFOXYC1_FULL_42_13"	Bacteria	unclassified Bacteria	0.806253	0
"candidate division WWE3 bacterium RIFOXYC1_FULL_42_17"	Bacteria	unclassified Bacteria	0.778421	0
"candidate division WWE3 bacterium RIFOXYC2_FULL_40_11"	Bacteria	unclassified Bacteria	0.903911	0
"candidate division WWE3 bacterium RIFOXYC2_FULL_42_13"	Bacteria	unclassified Bacteria	0.78009	0
"candidate division WWE3 bacterium RIFOXYD1_FULL_39_9"	Bacteria	unclassified Bacteria	1.08888	0
"candidate division WWE3 bacterium RIFOXYD1_FULL_40_11"	Bacteria	unclassified Bacteria	0.892209	0
"candidate division WWE3 bacterium RIFOXYD1_FULL_42_24"	Bacteria	unclassified Bacteria	0.703437	0
"candidate division WWE3 bacterium RIFOXYD1_FULL_43_17"	Bacteria	unclassified Bacteria	0.863201	0
"candidate division WWE3 bacterium RIFOXYD2_FULL_43_10"	Bacteria	unclassified Bacteria	0.783117	0
"candidate division WWE3 bacterium UBA1379"	Bacteria	unclassified Bacteria	0.942601	0
"candidate division WWE3 bacterium UBA1397"	Bacteria	unclassified Bacteria	0.7282	0
"candidate division WWE3 bacterium UBA1401"	Bacteria	unclassified Bacteria	0.846488	0
"candidate division Zixibacteria bacterium"	Bacteria	FCB group	3.77062	0
"candidate division Zixibacteria bacterium 4484_93"	Bacteria	FCB group	1.29079	0
"candidate division Zixibacteria bacterium 4484_95"	Bacteria	FCB group	2.17473	0
"candidate division Zixibacteria bacterium CG_4_9_14_3_um_filter_46_8"	Bacteria	FCB group	2.72735	0
"candidate division Zixibacteria bacterium DG_27"	Bacteria	FCB group	1.10197	0
"candidate division Zixibacteria bacterium HGW-Zixibacteria-1"	Bacteria	FCB group	3.82509	0
"candidate division Zixibacteria bacterium RBG-1"	Bacteria	FCB group	2.12277	0
"candidate division Zixibacteria bacterium RBG_16_40_9"	Bacteria	FCB group	1.43922	0
"candidate division Zixibacteria bacterium RBG_16_43_9"	Bacteria	FCB group	1.95127	0
"candidate division Zixibacteria bacterium RBG_16_48_11"	Bacteria	FCB group	1.88986	0
"candidate division Zixibacteria bacterium RBG_16_50_21"	Bacteria	FCB group	1.37987	0
"candidate division Zixibacteria bacterium RBG_16_53_22"	Bacteria	FCB group	3.85885	0
"candidate division Zixibacteria bacterium RBG_19FT_COMBO_42_43"	Bacteria	FCB group	1.99279	0
"candidate division Zixibacteria bacterium SM1_73"	Bacteria	FCB group	2.22362	0
"candidate division Zixibacteria bacterium SM23_73"	Bacteria	FCB group	1.44148	0
"candidate division Zixibacteria bacterium SM23_73_2"	Bacteria	FCB group	2.25506	0
"candidate division Zixibacteria bacterium SM23_73_3"	Bacteria	FCB group	1.88276	0
"candidate division Zixibacteria bacterium SM23_81"	Bacteria	FCB group	3.07491	0
"Candidatus Abawacabacteria bacterium RBG_16_42_10"	Bacteria	unclassified Bacteria	1.0956	0
"Candidatus Abawacabacteria bacterium RIFCSPHIGHO2_01_FULL_46_8"	Bacteria	unclassified Bacteria	0.50992	0
"Candidatus Abyssubacteria bacterium SURF_17"	Bacteria	PVC group	4.64226	0
"Candidatus Abyssubacteria bacterium SURF_5"	Bacteria	PVC group	5.10346	0
"Candidatus Accumulibacter"	Bacteria	Proteobacteria	4.99611	0
"Candidatus Accumulibacter aalborgensis"	Bacteria	Proteobacteria	4.70707	0
"Candidatus Accumulibacter phosphatis"	Bacteria	Proteobacteria	5.30613	1
"Candidatus Acetothermia bacterium"	Bacteria	unclassified Bacteria	1.92985	0
"Candidatus Acetothermia bacterium JdFR-46"	Bacteria	unclassified Bacteria	1.08807	0
"Candidatus Acetothermia bacterium JdFR-47"	Bacteria	unclassified Bacteria	1.62229	0
"Candidatus Acetothermia bacterium JdFR-48"	Bacteria	unclassified Bacteria	1.89313	0
"Candidatus Acetothermia bacterium JdFR-49"	Bacteria	unclassified Bacteria	1.69865	0
"Candidatus Acetothermia bacterium JdFR-50"	Bacteria	unclassified Bacteria	1.29228	0
"Candidatus Acetothermia bacterium JdFR-51"	Bacteria	unclassified Bacteria	1.76384	0
"Candidatus Acetothermia bacterium JdFR-52"	Bacteria	unclassified Bacteria	1.7106	0
"Candidatus Achromatium palustre"	Bacteria	Proteobacteria	3.64568	0
"Candidatus Acidianus copahuensis"	Archaea	TACK group	2.45402	0
"Candidatus Acididesulfobacter diazotrophicus"	Bacteria	Proteobacteria	2.45954	0
"Candidatus Acididesulfobacter guangdongensis"	Bacteria	Proteobacteria	2.21712	0
"Candidatus Acidulodesulfobacterium acidiphilum"	Bacteria	Proteobacteria	2.09316	0
"Candidatus Acidulodesulfobacterium ferriphilum"	Bacteria	Proteobacteria	1.87312	0
"Candidatus Actinomarina"	Bacteria	Terrabacteria group	0.257233	0
"Candidatus Actinomarinales bacterium"	Bacteria	Terrabacteria group	0.747217	0
"Candidatus Actinomarinales bacterium MED-G02"	Bacteria	Terrabacteria group	0.488329	0
"Candidatus Adiutrix intracellularis"	Bacteria	Proteobacteria	2.07649	0
"Candidatus Adlerbacteria bacterium"	Bacteria	unclassified Bacteria	0.602608	0
"Candidatus Adlerbacteria bacterium GW2011_GWA1_54_10"	Bacteria	unclassified Bacteria	0.596207	0
"Candidatus Adlerbacteria bacterium GW2011_GWA2_54_12"	Bacteria	unclassified Bacteria	0.256641	0
"Candidatus Adlerbacteria bacterium GW2011_GWB1_54_7"	Bacteria	unclassified Bacteria	0.605084	0
"Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9"	Bacteria	unclassified Bacteria	0.830557	0
"Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_01_FULL_54_23"	Bacteria	unclassified Bacteria	0.517848	0
"Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_02_FULL_52_17"	Bacteria	unclassified Bacteria	0.454632	0
"Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_02_FULL_54_18"	Bacteria	unclassified Bacteria	0.500731	0
"Candidatus Adlerbacteria bacterium RIFCSPHIGHO2_12_FULL_53_18"	Bacteria	unclassified Bacteria	0.539999	0
"Candidatus Adlerbacteria bacterium RIFCSPLOWO2_01_FULL_51_16"	Bacteria	unclassified Bacteria	0.608701	0
"Candidatus Adlerbacteria bacterium RIFCSPLOWO2_01_FULL_54_16"	Bacteria	unclassified Bacteria	0.586632	0
"Candidatus Adlerbacteria bacterium RIFCSPLOWO2_01_FULL_54_21b"	Bacteria	unclassified Bacteria	0.569343	0
"Candidatus Adlerbacteria bacterium RIFOXYB1_FULL_48_10"	Bacteria	unclassified Bacteria	0.598251	0
"Candidatus Adlerbacteria bacterium RIFOXYC1_FULL_48_26"	Bacteria	unclassified Bacteria	0.630352	0
"Candidatus Adlerbacteria bacterium RIFOXYD1_FULL_48_8"	Bacteria	unclassified Bacteria	0.478434	0
"Candidatus Aegiribacteria bacterium MLS_C"	Bacteria	FCB group	2.97874	0
"Candidatus Aenigmarchaeota archaeon"	Archaea	DPANN group	1.41047	0
"Candidatus Aenigmarchaeota archaeon CG01_land_8_20_14_3_00_37_9"	Archaea	DPANN group	0.857356	0
"Candidatus Aenigmarchaeota archaeon CG15_BIG_FIL_POST_REV_8_21_14_020_37_27"	Archaea	DPANN group	0.852786	0
"Candidatus Aenigmarchaeota archaeon CG1_02_38_14"	Archaea	DPANN group	0.878809	0
"Candidatus Aenigmarchaeota archaeon CG_4_10_14_0_8_um_filter_37_24"	Archaea	DPANN group	0.861294	0
"Candidatus Aenigmarchaeota archaeon CG_4_10_14_3_um_filter_37_21"	Archaea	DPANN group	0.901736	0
"Candidatus Aenigmarchaeota archaeon CG_4_8_14_3_um_filter_37_24"	Archaea	DPANN group	0.823804	0
"Candidatus Aenigmarchaeota archaeon CG_4_9_14_3_um_filter_37_18"	Archaea	DPANN group	0.891026	0
"Candidatus Aenigmarchaeota archaeon ex4484_14"	Archaea	DPANN group	0.74321	0
"Candidatus Aenigmarchaeota archaeon ex4484_224"	Archaea	DPANN group	0.485206	0
"Candidatus Aenigmarchaeota archaeon ex4484_52"	Archaea	DPANN group	0.614182	0
"Candidatus Aenigmarchaeota archaeon ex4484_56"	Archaea	DPANN group	0.566759	0
"Candidatus Aenigmarchaeota archaeon JGI 0000106-F11"	Archaea	DPANN group	0.361035	0
"Candidatus Aenigmarchaeota archaeon SCGC AAA011-F07"	Archaea	DPANN group	0.248182	0
"Candidatus Aenigmarchaeum subterraneum SCGC AAA011-O16"	Archaea	DPANN group	0.428886	0
"Candidatus Aerophobetes bacterium"	Bacteria	unclassified Bacteria	1.88113	0
"Candidatus Aerophobetes bacterium Ae_b3a"	Bacteria	unclassified Bacteria	2.36838	0
"Candidatus Aerophobetes bacterium Ae_b3b"	Bacteria	unclassified Bacteria	2.04195	0
"Candidatus Aerophobus profundus SCGC AAA252-L23"	Bacteria	unclassified Bacteria	2.30596	0
"Candidatus Altiarchaeales archaeon"	Archaea	DPANN group	1.2188	0
"Candidatus Altiarchaeales archaeon A3"	Archaea	DPANN group	1.44693	0
"Candidatus Altiarchaeales archaeon ex4484_2"	Archaea	DPANN group	1.3953	0
"Candidatus Altiarchaeales archaeon ex4484_43"	Archaea	DPANN group	1.0406	0
"Candidatus Altiarchaeales archaeon ex4484_96"	Archaea	DPANN group	0.919319	0
"Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-1"	Archaea	DPANN group	2.01298	0
"Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-2"	Archaea	DPANN group	1.53893	0
"Candidatus Altiarchaeales archaeon HGW-Altiarchaeales-3"	Archaea	DPANN group	0.686909	0
"Candidatus Altiarchaeales archaeon IMC4"	Archaea	DPANN group	1.39091	0
"Candidatus Altiarchaeales archaeon WOR_SM1_79"	Archaea	DPANN group	3.18802	0
"Candidatus Altiarchaeales archaeon WOR_SM1_86-2"	Archaea	DPANN group	2.08797	0
"Candidatus Altiarchaeales archaeon WOR_SM1_SCG"	Archaea	DPANN group	2.54974	0
"Candidatus Altiarchaeum"	Archaea	DPANN group	1.66097	0
"Candidatus Altimarinus pacificus JGI 0000068-E11"	Bacteria	unclassified Bacteria	0.501814	0
"Candidatus Amesbacteria bacterium"	Bacteria	unclassified Bacteria	0.977348	0
"Candidatus Amesbacteria bacterium GW2011_GWA1_44_24"	Bacteria	unclassified Bacteria	1.08478	0
"Candidatus Amesbacteria bacterium GW2011_GWA1_46_35"	Bacteria	unclassified Bacteria	0.749932	0
"Candidatus Amesbacteria bacterium GW2011_GWA1_47_16"	Bacteria	unclassified Bacteria	0.899933	0
"Candidatus Amesbacteria bacterium GW2011_GWA1_47_20"	Bacteria	unclassified Bacteria	0.692671	0
"Candidatus Amesbacteria bacterium GW2011_GWA1_48_9"	Bacteria	unclassified Bacteria	0.8907	0
"Candidatus Amesbacteria bacterium GW2011_GWA2_42_12"	Bacteria	unclassified Bacteria	0.711674	0
"Candidatus Amesbacteria bacterium GW2011_GWA2_47_11"	Bacteria	unclassified Bacteria	0.883773	0
"Candidatus Amesbacteria bacterium GW2011_GWA2_47_11b"	Bacteria	unclassified Bacteria	0.758139	0
"Candidatus Amesbacteria bacterium GW2011_GWA2_47_70"	Bacteria	unclassified Bacteria	0.612222	0
"Candidatus Amesbacteria bacterium GW2011_GWB1_47_19"	Bacteria	unclassified Bacteria	0.998151	0
"Candidatus Amesbacteria bacterium GW2011_GWB1_47_26"	Bacteria	unclassified Bacteria	0.747913	0
"Candidatus Amesbacteria bacterium GW2011_GWB1_48_13"	Bacteria	unclassified Bacteria	0.933366	0
"Candidatus Amesbacteria bacterium GW2011_GWC1_46_24"	Bacteria	unclassified Bacteria	1.00916	0
"Candidatus Amesbacteria bacterium GW2011_GWC1_47_15"	Bacteria	unclassified Bacteria	0.914308	0
"Candidatus Amesbacteria bacterium GW2011_GWC1_48_10"	Bacteria	unclassified Bacteria	0.85905	0
"Candidatus Amesbacteria bacterium GW2011_GWC2_45_19"	Bacteria	unclassified Bacteria	0.813806	0
"Candidatus Amesbacteria bacterium GW2011_GWC2_47_8"	Bacteria	unclassified Bacteria	0.661848	0
"Candidatus Amesbacteria bacterium RBG_16_48_31"	Bacteria	unclassified Bacteria	0.686074	0
"Candidatus Amesbacteria bacterium RBG_19FT_COMBO_48_16"	Bacteria	unclassified Bacteria	0.911921	0
"Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_47_34"	Bacteria	unclassified Bacteria	0.848883	0
"Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_48_32"	Bacteria	unclassified Bacteria	0.954878	0
"Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_48_32b"	Bacteria	unclassified Bacteria	0.941917	0
"Candidatus Amesbacteria bacterium RIFCSPHIGHO2_01_FULL_48_75"	Bacteria	unclassified Bacteria	0.662098	0
"Candidatus Amesbacteria bacterium RIFCSPHIGHO2_02_FULL_47_9"	Bacteria	unclassified Bacteria	0.598501	0
"Candidatus Amesbacteria bacterium RIFCSPHIGHO2_02_FULL_48_21"	Bacteria	unclassified Bacteria	0.858429	0
"Candidatus Amesbacteria bacterium RIFCSPHIGHO2_12_FULL_48_14"	Bacteria	unclassified Bacteria	0.960932	0
"Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_47_33"	Bacteria	unclassified Bacteria	0.916351	0
"Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_48_25"	Bacteria	unclassified Bacteria	0.938849	0
"Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_48_50"	Bacteria	unclassified Bacteria	0.776953	0
"Candidatus Amesbacteria bacterium RIFCSPLOWO2_01_FULL_49_25"	Bacteria	unclassified Bacteria	0.958218	0
"Candidatus Amesbacteria bacterium RIFCSPLOWO2_02_FULL_48_11"	Bacteria	unclassified Bacteria	0.95232	0
"Candidatus Amesbacteria bacterium RIFOXYB1_FULL_44_23"	Bacteria	unclassified Bacteria	1.11496	0
"Candidatus Amesbacteria bacterium RIFOXYB1_FULL_47_12"	Bacteria	unclassified Bacteria	0.823887	0
"Candidatus Amesbacteria bacterium RIFOXYB1_FULL_47_13"	Bacteria	unclassified Bacteria	0.992167	0
"Candidatus Amesbacteria bacterium RIFOXYB1_FULL_47_9"	Bacteria	unclassified Bacteria	0.756708	0
"Candidatus Amesbacteria bacterium RIFOXYD1_FULL_47_9"	Bacteria	unclassified Bacteria	0.840594	0
"Candidatus Aminicenans sakinawicola JGI OTU-1"	Bacteria	unclassified Bacteria	2.91363	0
"Candidatus Aminicenantes bacterium"	Bacteria	unclassified Bacteria	3.79298	0
